query                key                  attn_score          
176                  5                    -27.45413           
176                  1                    -27.37105           
151                  1                    -27.11144           
176                  2                    -27.09626           
176                  19                   -27.09142           
176                  4                    -27.03186           
176                  7                    -26.93390           
176                  25                   -26.86791           
176                  8                    -26.85947           
176                  16                   -26.82409           
176                  9                    -26.80328           
176                  20                   -26.80065           
176                  3                    -26.77940           
176                  10                   -26.77240           
151                  5                    -26.75143           
151                  7                    -26.74874           
176                  21                   -26.73736           
176                  12                   -26.71952           
176                  14                   -26.70655           
176                  30                   -26.70356           
176                  18                   -26.69803           
176                  6                    -26.67081           
176                  11                   -26.65244           
176                  29                   -26.62577           
176                  13                   -26.61415           
176                  34                   -26.59146           
176                  27                   -26.58837           
176                  17                   -26.56628           
176                  24                   -26.56271           
176                  22                   -26.53345           
176                  35                   -26.52831           
176                  54                   -26.49768           
176                  38                   -26.49076           
176                  26                   -26.45751           
176                  61                   -26.45447           
176                  55                   -26.45263           
176                  66                   -26.44703           
141                  1                    -26.43522           
176                  64                   -26.42933           
151                  11                   -26.40581           
176                  28                   -26.39808           
151                  4                    -26.39559           
176                  23                   -26.38923           
191                  1                    -26.35131           
176                  40                   -26.35072           
151                  2                    -26.34786           
151                  10                   -26.34631           
176                  42                   -26.33816           
151                  19                   -26.32974           
176                  51                   -26.31990           
176                  62                   -26.31972           
151                  8                    -26.31245           
176                  58                   -26.30287           
176                  49                   -26.29955           
176                  33                   -26.29091           
151                  9                    -26.29032           
176                  39                   -26.28176           
176                  15                   -26.27192           
254                  1                    -26.26869           
176                  46                   -26.26770           
151                  12                   -26.25492           
151                  3                    -26.25413           
151                  13                   -26.24629           
183                  1                    -26.24398           
151                  20                   -26.22516           
177                  1                    -26.21740           
176                  52                   -26.20633           
176                  48                   -26.20288           
176                  59                   -26.19113           
176                  31                   -26.18354           
151                  16                   -26.17847           
176                  67                   -26.17778           
141                  5                    -26.17190           
176                  32                   -26.16725           
151                  21                   -26.15528           
176                  82                   -26.15151           
176                  36                   -26.14376           
151                  18                   -26.14009           
151                  29                   -26.11130           
176                  70                   -26.10725           
176                  56                   -26.10620           
176                  71                   -26.09214           
151                  25                   -26.08614           
176                  60                   -26.08507           
141                  7                    -26.07702           
176                  37                   -26.07493           
176                  65                   -26.07379           
176                  41                   -26.06631           
216                  1                    -26.05985           
151                  38                   -26.05537           
176                  45                   -26.04562           
171                  1                    -26.03518           
151                  24                   -26.02837           
176                  47                   -26.02500           
176                  74                   -26.02495           
176                  75                   -26.01065           
176                  53                   -26.00467           
151                  6                    -25.99770           
151                  22                   -25.99677           
141                  4                    -25.98747           
151                  14                   -25.98704           
176                  43                   -25.98614           
176                  68                   -25.98328           
176                  44                   -25.97697           
151                  26                   -25.97481           
151                  33                   -25.96987           
141                  19                   -25.96559           
176                  63                   -25.96102           
141                  8                    -25.95336           
176                  73                   -25.94181           
141                  2                    -25.94143           
176                  50                   -25.94142           
176                  86                   -25.93706           
151                  30                   -25.93083           
176                  76                   -25.92630           
191                  5                    -25.92521           
141                  3                    -25.91550           
183                  5                    -25.91215           
176                  69                   -25.91172           
151                  27                   -25.90697           
151                  42                   -25.90517           
176                  84                   -25.88936           
130                  1                    -25.88682           
141                  20                   -25.88182           
131                  1                    -25.87080           
176                  79                   -25.85832           
176                  90                   -25.85540           
176                  87                   -25.85302           
151                  36                   -25.85227           
151                  28                   -25.84936           
176                  81                   -25.84487           
141                  9                    -25.83810           
176                  77                   -25.83075           
176                  80                   -25.82061           
216                  5                    -25.81333           
151                  31                   -25.81193           
141                  10                   -25.79571           
151                  41                   -25.79475           
131                  19                   -25.78841           
141                  11                   -25.77893           
131                  13                   -25.77094           
176                  91                   -25.76813           
141                  12                   -25.76770           
194                  1                    -25.76451           
131                  2                    -25.76325           
191                  2                    -25.76279           
183                  2                    -25.76219           
176                  78                   -25.76059           
158                  1                    -25.75835           
216                  2                    -25.75814           
176                  57                   -25.75740           
177                  7                    -25.75706           
151                  23                   -25.75049           
141                  13                   -25.74794           
151                  44                   -25.74503           
151                  37                   -25.74206           
176                  94                   -25.74167           
141                  16                   -25.73704           
151                  34                   -25.73587           
151                  32                   -25.72595           
151                  17                   -25.72234           
176                  89                   -25.71412           
195                  1                    -25.70366           
151                  15                   -25.69953           
195                  5                    -25.69539           
183                  19                   -25.69316           
183                  7                    -25.68845           
131                  25                   -25.68593           
151                  62                   -25.68353           
141                  27                   -25.67838           
176                  72                   -25.67478           
216                  7                    -25.67406           
191                  4                    -25.67144           
151                  66                   -25.66988           
166                  1                    -25.66315           
141                  24                   -25.66268           
176                  83                   -25.66085           
151                  35                   -25.65941           
191                  7                    -25.65035           
242                  1                    -25.64640           
141                  6                    -25.64469           
177                  5                    -25.64252           
141                  25                   -25.63854           
131                  35                   -25.63831           
151                  61                   -25.63680           
141                  14                   -25.62368           
141                  21                   -25.61061           
141                  34                   -25.60515           
124                  1                    -25.60410           
130                  5                    -25.60341           
177                  19                   -25.60221           
176                  108                  -25.59971           
171                  5                    -25.59965           
191                  3                    -25.59676           
141                  18                   -25.58637           
151                  51                   -25.58416           
151                  43                   -25.57814           
141                  29                   -25.57125           
141                  30                   -25.56963           
131                  20                   -25.56893           
176                  110                  -25.56525           
131                  10                   -25.56345           
151                  47                   -25.56142           
157                  1                    -25.56023           
151                  52                   -25.55891           
216                  19                   -25.54404           
168                  1                    -25.53893           
160                  1                    -25.53720           
141                  38                   -25.53130           
151                  54                   -25.52340           
176                  92                   -25.52174           
141                  17                   -25.51719           
151                  55                   -25.51563           
176                  96                   -25.51321           
141                  28                   -25.50857           
195                  7                    -25.50756           
177                  25                   -25.50753           
183                  9                    -25.50630           
151                  45                   -25.50546           
151                  40                   -25.49365           
176                  97                   -25.49178           
141                  35                   -25.49032           
131                  8                    -25.48784           
195                  2                    -25.48676           
141                  22                   -25.48569           
187                  1                    -25.48453           
191                  19                   -25.48226           
176                  85                   -25.48150           
244                  1                    -25.47273           
177                  8                    -25.47182           
216                  10                   -25.46848           
191                  9                    -25.46325           
131                  5                    -25.46162           
183                  25                   -25.46140           
183                  8                    -25.46120           
141                  33                   -25.45827           
151                  56                   -25.45049           
216                  3                    -25.44497           
131                  7                    -25.44293           
216                  8                    -25.43933           
131                  6                    -25.43765           
151                  49                   -25.42929           
112                  5                    -25.42708           
176                  112                  -25.42267           
