query                key                  attn_score          
�                    �                    152.76953           
VII                  VII                  127.83641           
ione                 ione                 124.52274           
_von                 _von                 122.71864           
_$\                  _$\                  121.58203           
ão                   ão                   118.82117           
_este                _este                117.03622           
_≤                   _≤                   115.74691           
_Vander              _Vander              113.93711           
oldown               oldown               113.15455           
_Citiz               _Citiz               112.34291           
_Continue            _Continue            111.53130           
_los                 _los                 111.41071           
_Zhang               _Zhang               111.27187           
_rook                _rook                110.87060           
_Loki                _Loki                110.45685           
_sclerosis           _sclerosis           110.37722           
($                   ($                   110.05423           
_Meng                _Meng                109.79370           
_Space               _Space               109.77206           
_Cla                 _Cla                 109.48394           
_Liu                 _Liu                 109.42841           
_LF                  _LF                  109.09754           
_sax                 _sax                 108.89326           
_Guatem              _Guatem              108.13657           
awei                 awei                 108.03228           
_Zheng               _Zheng               107.73018           
[_                   [_                   107.54638           
_PHI                 _PHI                 107.38215           
_Francois            _Francois            107.16795           
_Auditor             _Auditor             107.11240           
_Gou                 _Gou                 106.69995           
_LIC                 _LIC                 106.21931           
_�                   �                    106.08582           
_adolesc             _adolesc             105.91551           
_comr                _comr                105.75888           
_Appeals             _Appeals             105.73598           
_Bret                _Bret                105.42463           
_Pay                 _Pay                 105.40427           
ikhail               ikhail               105.17587           
_Dong                _Dong                105.17255           
_differe             _differe             104.92250           
_Mé                  _Mé                  104.83205           
_Boe                 _Boe                 104.68267           
_sovere              _sovere              104.65208           
_Kund                _Kund                104.61683           
Fif                  Fif                  104.17665           
_Au                  _Au                  104.14938           
_Thorn               _Thorn               103.81922           
_blasp               _blasp               103.76668           
_Xuan                _Xuan                103.54363           
_Mei                 _Mei                 103.44749           
_unatt               _unatt               103.27863           
_servic              _servic              103.23914           
_Saiyan              _Saiyan              103.22269           
_veterinarian        _veterinarian        103.17493           
_Babylon             _Babylon             103.13586           
WithNo               WithNo               102.74600           
_Liu                 _Zhang               102.68420           
_hapl                _hapl                102.42396           
_Catherine           _Catherine           102.30547           
_Xue                 _Xue                 102.21625           
_Trinity             _Trinity             102.12646           
Pierre               Pierre               101.95555           
_ven                 _ven                 101.83917           
_ammon               _ammon               101.81676           
_aval                _aval                101.76345           
_para                _para                101.74447           
oire                 oire                 101.72264           
�                    �                    101.68676           
_Skywalker           _Skywalker           101.67255           
_Fah                 _Fah                 101.64156           
_IMP                 _IMP                 101.62759           
_Somalia             _Somalia             101.52271           
_integers            _integers            101.51217           
_Refuge              _Refuge              101.40669           
_Brookings           _Brookings           101.35063           
_auditor             _auditor             101.27728           
_�                   _�                   101.21272           
_à                   _à                   101.20563           
_Sinn                _Sinn                101.12001           
_Theodore            _Theodore            101.07575           
_Rack                _Rack                100.99371           
_advoc               _advoc               100.89336           
_Zuckerberg          _Zuckerberg          100.66435           
_Lara                _Lara                100.57431           
_GEN                 _GEN                 100.51086           
_Legion              _Legion              100.44000           
_Berm                _Berm                100.43395           
emetery              emetery              100.42281           
nova                 nova                 100.39606           
č                    č                    100.38032           
iii                  iii                  100.30090           
_Jing                _Jing                100.27889           
_Feng                _Feng                100.26400           
_para                _este                100.23478           
_Paraly              _Paraly              100.21595           
_Voting              _Voting              100.18958           
_Inspector           _Inspector           100.14451           
_Surve               _Surve               100.12411           
_traged              _traged              100.02300           
_Merrill             _Merrill             100.00240           
_Beau                _Beau                99.94939            
_Hazel               _Hazel               99.90926            
_arri                _arri                99.86634            
rared                rared                99.79309            
=$                   =$                   99.79281            
_tremend             _tremend             99.78205            
……………………             ……………………             99.75159            
_laser               _laser               99.74075            
_KL                  _KL                  99.52551            
_Pru                 _Pru                 99.50105            
_salsa               _salsa               99.48951            
_criminally          _criminally          99.44508            
_DT                  _DT                  99.41746            
_cum                 _cum                 99.36359            
_Trey                _Trey                99.33876            
_Bul                 _Bul                 99.26723            
_Zhao                _Zhao                99.24939            
_Jian                _Jian                99.20665            
_Lys                 _Lys                 99.18669            
_tyr                 _tyr                 99.16236            
_Tooth               _Tooth               99.14323            
_Fiorina             _Fiorina             99.12342            
_Conserv             _Conserv             99.07043            
_Qiao                _Qiao                99.02295            
_Mulcair             _Mulcair             98.95756            
_briefs              _briefs              98.93607            
_LIM                 _LIM                 98.91246            
_Zac                 _Zac                 98.85799            
_sus                 _los                 98.79195            
_Surviv              _Surviv              98.76572            
_Luo                 _Luo                 98.70138            
_spinal              _spinal              98.69434            
_pine                _pine                98.66378            
_$\                  ($                   98.57655            
_Xie                 _Xie                 98.52164            
_Monsanto            _Monsanto            98.50302            
_philos              _philos              98.41821            
_lithium             _lithium             98.41272            
_unbeliev            _unbeliev            98.41026            
_Zhou                _Zhou                98.39571            
Customer             Customer             98.37153            
_corn                _corn                98.36269            
adequ                adequ                98.34155            
daq                  daq                  98.32725            
_Tom                 _Tom                 98.29884            
_Zheng               _Zhang               98.26046            
_Plague              _Plague              98.21210            
OTOS                 OTOS                 98.16209            
NEWS                 NEWS                 98.13771            
_Ahmad               _Ahmad               97.96478            
_Mil                 _Mil                 97.94438            
_Tri                 _Tri                 97.84735            
_catast              _catast              97.78493            
_CENT                _CENT                97.78380            
_Blaz                _Blaz                97.77699            
_Qué                 _Qué                 97.76617            
_Bud                 _Bud                 97.72273            
_Peng                _Peng                97.58378            
_Shang               _Shang               97.46715            
_Dru                 _Dru                 97.43852            
_Auditor             _Inspector           97.40340            
_Francois            _François            97.36307            
_internship          _internship          97.35088            
_Shirley             _Shirley             97.27862            
_circadian           _circadian           97.26517            
_geo                 _geo                 97.25180            
_ng                  _ng                  97.22965            
�                    �                    97.21095            
_ambig               _ambig               97.18463            
_Christy             _Christy             97.18052            
Yang                 Yang                 97.14172            
_Dian                _Dian                97.10772            
_tx                  _tx                  97.00994            
_hugely              _hugely              96.99477            
_este                _para                96.91592            
Photos               Photos               96.91422            
_Zach                _Zach                96.89661            
_Shoals              _Shoals              96.89241            
�                    �                    96.78155            
_Kov                 _Kov                 96.72589            
_Buenos              _Buenos              96.66515            
_Maurice             _Maurice             96.64994            
_Jere                _Jere                96.59972            
_Yong                _Yong                96.57745            
wana                 wana                 96.53214            
_Algeria             _Algeria             96.52031            
_behav               _behav               96.50152            
OTOS                 Shape                96.48277            
_VAT                 _VAT                 96.46357            
�                    �                    96.46156            
_Conrad              _Conrad              96.43556            
Apr                  Apr                  96.40921            
NP                   NP                   96.38825            
Studies              Studies              96.37572            
_Jiang               _Jiang               96.36658            
_Tenn                _Tenn                96.26891            
_phyl                _phyl                96.25392            
_refere              _refere              96.23197            
_Kyr                 _Kyr                 96.23197            
_volunte             _volunte             96.18079            
_Saturn              _Saturn              96.07880            
_Rik                 _Rik                 96.07259            
_gran                _este                95.98675            
à                    ione                 95.95874            
ofi                  ofi                  95.93711            
�                    �                    95.89636            
dq                   dq                   95.88692            
_therap              _therap              95.86865            
_<=                  _<=                  95.86135            
_Mitt                _Mitt                95.85197            
_trop                _trop                95.80098            
Tes                  Tes                  95.75636            
_ko                  _ko                  95.74058            
_Ave                 _Ave                 95.71501            
_auditor             _Auditor             95.70278            
ORK                  ORK                  95.69624            
_colle               _colle               95.65371            
_ord                 _ord                 95.62444            
_Quin                _Quin                95.59176            
��                   ��                   95.58477            
_de                  _este                95.58041            
_Hulk                _Hulk                95.57795            
_mutually            _mutually            95.57789            
_transsexual         _transsexual         95.53741            
_Cao                 _Cao                 95.51846            
_veter               _veter               95.49454            
_Henri               _Henri               95.48814            
_Zhang               _Xie                 95.47934            
_Forrest             _Forrest             95.45640            
_Fren                _Fren                95.45366            
_Kard                _Kard                95.43075            
_François            _Francois            95.42717            
_Carly               _Carly               95.42456            
ンジ                   ンジ                   95.38802            
_hy                  _hy                  95.36553            
_Hik                 _Hik                 95.34625            
_Viet                _Viet                95.32254            
_WTC                 _WTC                 95.22538            
_Buddy               _Buddy               95.21854            
ectar                ectar                95.15861            
_≤                   _≥                   95.14434            
_Choi                _Choi                95.12609            
_Barth               _Barth               95.11044            
_strawberry          _strawberry          95.10305            
_Guant               _Guant               95.09748            
_≥                   _≥                   95.08562            
_Kil                 _Kil                 95.08250            
_Yue                 _Yue                 95.05561            
_territ              _territ              94.99445            
.$                   ($                   94.96103            
earcher              earcher              94.95819            
�                    �                    94.90797            
_≤                   _<=                  94.90173            
rss                  rss                  94.84521            
//////////////////////////////// //////////////////////////////// 94.76443            
_matte               _matte               94.75172            
_Hudson              _Hudson              94.69380            
_alk                 _alk                 94.66617            
_Nikki               _Nikki               94.65286            
_Radius              _Radius              94.65111            
_dé                  _dé                  94.64870            
_Deborah             _Deborah             94.62921            
_CrossRef            _CrossRef            94.62666            
_Ves                 _Ves                 94.61567            
_assay               _assay               94.59314            
�                    �                    94.58897            
_Guang               _Guang               94.53802            
_Agriculture         _Agriculture         94.52594            
_Organic             _Organic             94.52541            
_Sod                 _Sod                 94.50240            
_Clair               _Clair               94.49357            
�                    �                    94.46558            
м                    м                    94.46436            
_Herbert             _Herbert             94.44592            
Tumblr               Tumblr               94.42670            
_Constantine         _Constantine         94.42538            
_las                 _los                 94.38303            
=$                   ($                   94.35286            
_disag               _disag               94.34422            
_Sar                 _Sar                 94.33279            
�                    �                    94.28601            
_Cheng               _Cheng               94.26579            
OURCE                OURCE                94.26542            
_Celt                _Celt                94.23599            
_Mary                _Mary                94.21698            
_pow                 _pow                 94.19933            
_ke                  _ke                  94.17932            
_Chung               _Chung               94.17200            
_Marion              _Marion              94.13799            
_IMAGES              _IMAGES              94.13535            
_Aero                _Aero                94.13113            
_Liu                 _Luo                 94.11657            
�                    �                    94.11367            
_Justice             _Justice             94.11310            
_Mub                 _Mub                 94.11141            
_idi                 _idi                 94.10388            
_Mich                _Mich                94.09030            
_de                  _para                94.08958            
_carbohydrate        _carbohydrate        94.08675            
_Chr                 _Chr                 94.06705            
_Emin                _Emin                94.04048            
_Abyssal             _Abyssal             94.03823            
_hygiene             _hygiene             94.03722            
_Lauder              _Lauder              94.00684            
_chess               _chess               94.00069            
_legisl              _legisl              93.98128            
Pay                  _Pay                 93.95465            
_gly                 _gly                 93.94043            
_-------------------------------- _-------------------------------- 93.93863            
Pay                  Pay                  93.93475            
stown                stown                93.92982            
_Engel               _Engel               93.91062            
_Frie                _Frie                93.90483            
_Cre                 _Cre                 93.89880            
�                    �                    93.88298            
FontSize             FontSize             93.87241            
_Chapel              _Chapel              93.86906            
_University          _University          93.86682            
Hand                 Hand                 93.85176            
_vert                _vert                93.85016            
_incrim              _incrim              93.84074            
_Venus               _Venus               93.81596            
iggurat              iggurat              93.79917            
_Cynthia             _Cynthia             93.79729            
